,,,,,,,,
Date,CL=F,LMT,TLT,,,CL=F,LMT,TLT
06/03/2024,0.012540,0.003472,0.005868,,1-Day Standard Deviation,1.99%,1.51%,0.79%
07/03/2024,-0.002527,-0.008051,-0.000938,,Historical VaR (1%),-4.71%,-4.82%,-1.89%
08/03/2024,-0.011656,0.006768,-0.001773,,Historical Expected Shortfall (1%),-6.58%,-6.95%,-2.47%
11/03/2024,-0.001026,0.004274,-0.000522,,Parametric VaR (1%),-4.61%,-3.40%,-1.84%
12/03/2024,-0.004748,0.000368,-0.008361,,Parametric Expected Shortfall (1%),-5.29%,-3.91%,-2.11%
13/03/2024,0.027849,-0.000713,-0.004848,,,,,
14/03/2024,0.019318,0.002692,-0.015357,,,,,
15/03/2024,-0.002707,0.000115,-0.000323,,,,,
18/03/2024,0.020731,-0.006012,-0.003013,,,,,
19/03/2024,0.009067,0.009211,0.002806,,,,,
20/03/2024,-0.021445,0.007365,-0.000323,,,,,
21/03/2024,-0.007468,0.006244,0.002153,,,,,
22/03/2024,-0.005427,0.006138,0.009561,,,,,
25/03/2024,0.016371,0.000964,-0.005001,,,,,
26/03/2024,-0.004027,-0.000717,0.002780,,,,,
27/03/2024,-0.003308,0.024193,0.009918,,,,,
28/03/2024,0.022372,-0.004182,-0.000845,,,,,
01/04/2024,0.006493,-0.004573,-0.018641,,,,,
02/04/2024,0.017202,0.000994,-0.005511,,,,,
03/04/2024,0.003288,-0.011782,-0.000217,,,,,
04/04/2024,0.013578,0.013708,0.007172,,,,,
05/04/2024,0.003696,0.002951,-0.013919,,,,,
08/04/2024,-0.005523,-0.006588,-0.000109,,,,,
09/04/2024,-0.013884,-0.010633,0.009302,,,,,
10/04/2024,0.011498,0.009250,-0.021794,,,,,
11/04/2024,-0.013804,0.001351,-0.004544,,,,,
12/04/2024,0.007528,-0.004245,0.005345,,,,,
15/04/2024,-0.002919,0.005950,-0.015506,,,,,
16/04/2024,-0.000585,0.002715,-0.006637,,,,,
17/04/2024,-0.031279,0.003830,0.011098,,,,,
18/04/2024,0.000484,0.000088,-0.005040,,,,,
19/04/2024,0.004956,0.017058,0.003602,,,,,
22/04/2024,-0.003488,-0.005476,-0.001683,,,,,
23/04/2024,0.006156,-0.002709,0.000337,,,,,
24/04/2024,-0.006598,-0.002043,-0.007076,,,,,
25/04/2024,0.009178,0.012284,-0.007014,,,,,
26/04/2024,0.003350,-0.007509,0.005240,,,,,
29/04/2024,-0.014550,0.013570,0.008386,,,,,
30/04/2024,-0.008471,-0.005604,-0.008541,,,,,
01/05/2024,-0.035762,-0.006883,0.007371,,,,,
02/05/2024,-0.000633,0.003184,0.004291,,,,,
03/05/2024,-0.010640,-0.002785,0.010119,,,,,
06/05/2024,0.004737,0.001883,0.003896,,,,,
07/05/2024,-0.001274,0.008427,0.006098,,,,,
08/05/2024,0.007783,-0.001114,-0.006061,,,,,
09/05/2024,0.003418,0.004784,0.004878,,,,,
10/05/2024,-0.012617,0.001046,-0.005627,,,,,
13/05/2024,0.010989,0.003583,0.002552,,,,,
14/05/2024,-0.013903,-0.007183,0.005645,,,,,
15/05/2024,0.007819,-0.006636,0.013647,,,,,
16/05/2024,0.007631,0.001616,-0.000977,,,,,
17/05/2024,0.010476,0.002947,-0.006739,,,,,
20/05/2024,-0.003247,0.001887,-0.002954,,,,,
21/05/2024,-0.006767,0.002634,0.005158,,,,,
22/05/2024,-0.021322,0.002989,0.001201,,,,,
23/05/2024,-0.009024,-0.005599,-0.006434,,,,,
24/05/2024,0.011058,0.000578,0.002963,,,,,
28/05/2024,0.027149,-0.018979,-0.014336,,,,,
29/05/2024,-0.007516,-0.012563,-0.012102,,,,,
30/05/2024,-0.016660,0.018157,0.009665,,,,,
31/05/2024,-0.011809,0.020393,0.006790,,,,,
03/06/2024,-0.035979,0.000878,0.016174,,,,,
04/06/2024,-0.013069,0.002759,0.011681,,,,,
05/06/2024,0.011195,-0.007806,0.007338,,,,,
06/06/2024,0.019981,0.007287,-0.001500,,,,,
07/06/2024,-0.000265,0.003222,-0.018346,,,,,
10/06/2024,0.029260,-0.005679,-0.006666,,,,,
11/06/2024,0.002058,-0.009969,0.010342,,,,,
12/06/2024,0.007702,-0.007973,0.007514,,,,,
13/06/2024,0.001529,-0.001198,0.014699,,,,,
14/06/2024,-0.002162,-0.000480,0.008415,,,,,
17/06/2024,0.023964,0.001462,-0.009929,,,,,
18/06/2024,0.015436,0.002157,0.009175,,,,,
20/06/2024,0.007356,0.013783,-0.006661,,,,,
21/06/2024,-0.017525,0.002702,0.000000,,,,,
24/06/2024,0.011148,0.008362,0.004044,,,,,
25/06/2024,-0.009800,-0.007296,0.001696,,,,,
26/06/2024,0.000866,-0.002308,-0.014286,,,,,
27/06/2024,0.010383,0.000300,0.003972,,,,,
28/06/2024,-0.002447,-0.000064,-0.018606,,,,,
01/07/2024,0.022566,-0.001413,-0.017259,,,,,
02/07/2024,-0.006836,-0.001587,0.007786,,,,,
03/07/2024,0.012921,0.000709,0.013133,,,,,
05/07/2024,-0.008584,-0.008304,0.008279,,,,,
08/07/2024,-0.009981,-0.000866,0.002161,,,,,
